Winner,MatchID,Team1,Team2,Margin,Year
India,318,India,Australia,57 runs,2013
Bangladesh,319,Bangladesh,New Zealand,4 wickets,2013
South Africa,320,Pakistan,South Africa,68 runs,2013
South Africa,321,Pakistan,South Africa,28 runs,2013
South Africa,322,Pakistan,South Africa,117 runs,2013
New Zealand,323,Sri Lanka,New Zealand,4 wickets,2013
Sri Lanka,324,Sri Lanka,New Zealand,36 runs,2013
India,325,India,West Indies,6 wickets,2013
West Indies,326,India,West Indies,2 wickets,2013
Pakistan,327,South Africa,Pakistan,23 runs,2013
India,328,India,West Indies,5 wickets,2013
Pakistan,329,South Africa,Pakistan,1 run,2013
South Africa,330,South Africa,Pakistan,4 wickets,2013
South Africa,331,South Africa,India,141 runs,2013
South Africa,332,South Africa,India,134 runs,2013
Pakistan,333,Pakistan,Sri Lanka,11 runs,2013
Sri Lanka,334,Pakistan,Sri Lanka,2 wickets,2013
Pakistan,335,Pakistan,Sri Lanka,113 runs,2013
Pakistan,336,Pakistan,Sri Lanka,8 wickets,2013
West Indies,337,New Zealand,West Indies,2 wickets,2013
Sri Lanka,338,Pakistan,Sri Lanka,2 wickets,2013
New Zealand,339,New Zealand,West Indies,159 runs,2014
New Zealand,340,New Zealand,West Indies,58 runs,2014
West Indies,341,New Zealand,West Indies,203 runs,2014
Australia,342,Australia,England,6 wickets,2014
Australia,343,Australia,England,1 wicket,2014
New Zealand,344,New Zealand,India,24 runs,2014
Australia,345,Australia,England,7 wickets,2014
New Zealand,346,New Zealand,India,15 runs,2014
England,347,Australia,England,57 runs,2014
Australia,348,Australia,England,5 runs,2014
New Zealand,349,New Zealand,India,7 wickets,2014
New Zealand,350,New Zealand,India,87 runs,2014
Sri Lanka,351,Bangladesh,Sri Lanka,13 runs,2014
Sri Lanka,352,Bangladesh,Sri Lanka,61 runs,2014
Sri Lanka,353,Bangladesh,Sri Lanka,6 wickets,2014
Sri Lanka,354,Pakistan,Sri Lanka,12 runs,2014
India,355,Bangladesh,India,6 wickets,2014
Pakistan,356,Afghanistan,Pakistan,72 runs,2014
Sri Lanka,357,India,Sri Lanka,2 wickets,2014
West Indies,358,West Indies,England,15 runs,2014
Afghanistan,359,Bangladesh,Afghanistan,32 runs,2014
Pakistan,360,India,Pakistan,1 wicket,2014
England,361,West Indies,England,3 wickets,2014
Sri Lanka,362,Afghanistan,Sri Lanka,129 runs,2014
Pakistan,363,Bangladesh,Pakistan,3 wickets,2014
India,364,Afghanistan,India,8 wickets,2014
England,365,West Indies,England,25 runs,2014
Sri Lanka,366,Bangladesh,Sri Lanka,3 wickets,2014
Sri Lanka,367,Pakistan,Sri Lanka,5 wickets,2014
England,368,England,Sri Lanka,81 runs,2014
Sri Lanka,369,England,Sri Lanka,157 runs,2014
England,370,England,Sri Lanka,10 wickets,2014
Sri Lanka,371,England,Sri Lanka,7 runs,2014
Sri Lanka,372,England,Sri Lanka,6 wickets,2014
India,373,Bangladesh,India,7 wickets,2014
India,374,Bangladesh,India,47 runs,2014
South Africa,375,Sri Lanka,South Africa,75 runs,2014
Sri Lanka,376,Sri Lanka,South Africa,87 runs,2014
South Africa,377,Sri Lanka,South Africa,82 runs,2014
West Indies,378,West Indies,Bangladesh,3 wickets,2014
West Indies,379,West Indies,Bangladesh,177 runs,2014
Pakistan,380,Sri Lanka,Pakistan,4 wickets,2014
West Indies,381,West Indies,Bangladesh,91 runs,2014
Sri Lanka,382,Sri Lanka,Pakistan,77 runs,2014
South Africa,383,Australia,South Africa,7 wickets,2014
India,384,England,India,133 runs,2014
Sri Lanka,385,Sri Lanka,Pakistan,7 wickets,2014
India,386,England,India,6 wickets,2014
Australia,387,Australia,South Africa,62 runs,2014
India,388,England,India,9 wickets,2014
England,389,England,India,41 runs,2014
South Africa,390,Australia,South Africa,6 wickets,2014
Australia,391,Australia,Pakistan,93 runs,2014
West Indies,392,India,West Indies,124 runs,2014
Australia,393,Australia,Pakistan,5 wickets,2014
India,394,India,West Indies,48 runs,2014
Australia,395,Australia,Pakistan,1 run,2014
India,396,India,West Indies,59 runs,2014
South Africa,397,New Zealand,South Africa,6 wickets,2014
South Africa,398,New Zealand,South Africa,72 runs,2014
India,399,India,Sri Lanka,169 runs,2014
India,400,India,Sri Lanka,6 wickets,2014
India,401,India,Sri Lanka,6 wickets,2014
India,402,India,Sri Lanka,153 runs,2014
Australia,403,Australia,South Africa,32 runs,2014
South Africa,404,Australia,South Africa,3 wickets,2014
India,405,India,Sri Lanka,3 wickets,2014
Australia,406,Australia,South Africa,73 runs,2014
Australia,407,Australia,South Africa,3 wickets,2014
Australia,408,Australia,South Africa,2 wickets,2014
Sri Lanka,409,Sri Lanka,England,25 runs,2014
Sri Lanka,410,Sri Lanka,England,8 wickets,2014
England,411,Sri Lanka,England,5 wickets,2014
Sri Lanka,412,Sri Lanka,England,6 wickets,2014
Pakistan,413,New Zealand,Pakistan,3 wickets,2014
England,414,Sri Lanka,England,5 wickets,2014
New Zealand,415,New Zealand,Pakistan,4 wickets,2014
Sri Lanka,416,Sri Lanka,England,90 runs,2014
Pakistan,417,New Zealand,Pakistan,147 runs,2014
Sri Lanka,418,Sri Lanka,England,87 runs,2014
New Zealand,419,New Zealand,Pakistan,7 runs,2014
New Zealand,420,New Zealand,Pakistan,68 runs,2014
New Zealand,421,New Zealand,Sri Lanka,3 wickets,2015
Sri Lanka,422,New Zealand,Sri Lanka,6 wickets,2015
Australia,423,Australia,England,3 wickets,2015
South Africa,424,South Africa,West Indies,61 runs,2015
Australia,425,Australia,India,4 wickets,2015
South Africa,426,South Africa,West Indies,148 runs,2015
New Zealand,427,New Zealand,Sri Lanka,4 wickets,2015
England,428,England,India,9 wickets,2015
South Africa,429,South Africa,West Indies,9 wickets,2015
New Zealand,430,New Zealand,Sri Lanka,108 runs,2015
Australia,431,Australia,England,3 wickets,2015
New Zealand,432,New Zealand,Sri Lanka,120 runs,2015
West Indies,433,South Africa,West Indies,1 wicket,2015
South Africa,434,South Africa,West Indies,131 runs,2015
Sri Lanka,435,New Zealand,Sri Lanka,34 runs,2015
England,436,England,India,3 wickets,2015
New Zealand,437,New Zealand,Pakistan,7 wickets,2015
Australia,438,Australia,England,112 runs,2015
New Zealand,439,New Zealand,Pakistan,119 runs,2015
New Zealand,440,New Zealand,Sri Lanka,98 runs,2015
Australia,441,Australia,England,111 runs,2015
India,442,India,Pakistan,76 runs,2015
Bangladesh,443,Afghanistan,Bangladesh,105 runs,2015
New Zealand,444,New Zealand,England,8 wickets,2015
West Indies,445,Pakistan,West Indies,150 runs,2015
Sri Lanka,446,Afghanistan,Sri Lanka,4 wickets,2015
India,447,India,South Africa,130 runs,2015
Sri Lanka,448,Bangladesh,Sri Lanka,92 runs,2015
South Africa,449,South Africa,West Indies,257 runs,2015
New Zealand,450,New Zealand,Australia,1 wicket,2015
Sri Lanka,451,England,Sri Lanka,9 wickets,2015
Australia,452,Australia,Afghanistan,275 runs,2015
India,453,India,West Indies,4 wickets,2015
Pakistan,454,Pakistan,South Africa,29 runs,2015
New Zealand,455,New Zealand,Afghanistan,6 wickets,2015
Australia,456,Australia,Sri Lanka,64 runs,2015
Bangladesh,457,Bangladesh,England,15 runs,2015
New Zealand,458,New Zealand,Bangladesh,3 wickets,2015
England,459,Afghanistan,England,9 wickets,2015
South Africa,460,South Africa,Sri Lanka,9 wickets,2015
India,461,Bangladesh,India,109 runs,2015
Australia,462,Australia,Pakistan,6 wickets,2015
New Zealand,463,New Zealand,West Indies,143 runs,2015
New Zealand,464,New Zealand,South Africa,4 wickets,2015
Australia,465,Australia,India,95 runs,2015
Australia,466,Australia,New Zealand,7 wickets,2015
Bangladesh,467,Bangladesh,Pakistan,79 runs,2015
Bangladesh,468,Bangladesh,Pakistan,7 wickets,2015
Bangladesh,469,Bangladesh,Pakistan,8 wickets,2015
England,470,England,New Zealand,210 runs,2015
New Zealand,471,England,New Zealand,13 runs,2015
New Zealand,472,England,New Zealand,3 wickets,2015
England,473,England,New Zealand,7 wickets,2015
Bangladesh,474,Bangladesh,India,79 runs,2015
England,475,England,New Zealand,3 wickets,2015
Bangladesh,476,Bangladesh,India,6 wickets,2015
India,477,Bangladesh,India,77 runs,2015
South Africa,478,Bangladesh,South Africa,8 wickets,2015
Pakistan,479,Sri Lanka,Pakistan,6 wickets,2015
Bangladesh,480,Bangladesh,South Africa,7 wickets,2015
Bangladesh,481,Bangladesh,South Africa,9 wickets,2015
Sri Lanka,482,Sri Lanka,Pakistan,2 wickets,2015
Pakistan,483,Sri Lanka,Pakistan,135 runs,2015
Pakistan,484,Sri Lanka,Pakistan,7 wickets,2015
Sri Lanka,485,Sri Lanka,Pakistan,165 runs,2015
South Africa,486,South Africa,New Zealand,20 runs,2015
New Zealand,487,South Africa,New Zealand,8 wickets,2015
South Africa,488,South Africa,New Zealand,62 runs,2015
Australia,489,England,Australia,59 runs,2015
Australia,490,England,Australia,64 runs,2015
England,491,England,Australia,93 runs,2015
England,492,England,Australia,3 wickets,2015
Australia,493,England,Australia,8 wickets,2015
South Africa,494,India,South Africa,5 runs,2015
India,495,India,South Africa,22 runs,2015
South Africa,496,India,South Africa,18 runs,2015
India,497,India,South Africa,35 runs,2015
South Africa,498,India,South Africa,214 runs,2015
Sri Lanka,499,Sri Lanka,West Indies,1 wicket,2015
Sri Lanka,500,Sri Lanka,West Indies,8 wickets,2015
Sri Lanka,501,Sri Lanka,West Indies,19 runs,2015
Pakistan,502,England,Pakistan,6 wickets,2015
England,503,England,Pakistan,95 runs,2015
England,504,England,Pakistan,6 wickets,2015
England,505,England,Pakistan,84 runs,2015
New Zealand,506,New Zealand,Sri Lanka,7 wickets,2015
New Zealand,507,New Zealand,Sri Lanka,10 wickets,2015
Sri Lanka,508,New Zealand,Sri Lanka,8 wickets,2015
New Zealand,509,New Zealand,Sri Lanka,36 runs,2016
Australia,510,Australia,India,5 wickets,2016
Australia,511,Australia,India,7 wickets,2016
Australia,512,Australia,India,3 wickets,2016
Australia,513,Australia,India,25 runs,2016
India,514,Australia,India,6 wickets,2016
New Zealand,515,New Zealand,Pakistan,70 runs,2016
New Zealand,516,New Zealand,Pakistan,3 wickets,2016
New Zealand,517,New Zealand,Australia,159 runs,2016
England,518,South Africa,England,39 runs,2016
Australia,519,New Zealand,Australia,4 wickets,2016
England,520,South Africa,England,5 wickets,2016
New Zealand,521,New Zealand,Australia,55 runs,2016
South Africa,522,South Africa,England,7 wickets,2016
South Africa,523,South Africa,England,1 wicket,2016
South Africa,524,South Africa,England,5 wickets,2016
West Indies,525,West Indies,South Africa,4 wickets,2016
Australia,526,West Indies,Australia,6 wickets,2016
South Africa,527,Australia,South Africa,47 runs,2016
Australia,528,Australia,South Africa,36 runs,2016
West Indies,529,West Indies,Australia,4 wickets,2016
South Africa,530,West Indies,South Africa,139 runs,2016
Australia,531,West Indies,Australia,6 wickets,2016
England,532,England,Sri Lanka,10 wickets,2016
West Indies,533,West Indies,South Africa,100 runs,2016
Australia,534,West Indies,Australia,58 runs,2016
England,535,England,Sri Lanka,6 wickets,2016
England,536,England,Sri Lanka,122 runs,2016
Australia,537,Sri Lanka,Australia,3 wickets,2016
Sri Lanka,538,Sri Lanka,Australia,82 runs,2016
England,539,England,Pakistan,44 runs,2016
England,540,England,Pakistan,4 wickets,2016
Australia,541,Sri Lanka,Australia,2 wickets,2016
England,542,England,Pakistan,169 runs,2016
Australia,543,Sri Lanka,Australia,6 wickets,2016
England,544,England,Pakistan,4 wickets,2016
Australia,545,Sri Lanka,Australia,5 wickets,2016
Pakistan,546,England,Pakistan,4 wickets,2016
Bangladesh,547,Bangladesh,Afghanistan,7 runs,2016
Afghanistan,548,Bangladesh,Afghanistan,2 wickets,2016
Pakistan,549,Pakistan,West Indies,111 runs,2016
South Africa,550,South Africa,Australia,6 wickets,2016
Bangladesh,551,Bangladesh,Afghanistan,141 runs,2016
South Africa,552,South Africa,Australia,142 runs,2016
